item_desc|corp_item_brand_name|pim_item_class_desc|pim_item_sub_class_desc|state|flavor|pim_tasting_notes
1792 BBN FULL PROOF(ALAMO LIQ)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SMALL BATCH(J ALLENS)93.7|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Complex nose with classic bourbon notes of smooth vanilla, sweet caramel and deep oak. On the palate, bold rye spice mingles with dark fruit and sweet caramel The finish is long and lingering, with hints of cocoa
1792 BBN BOTTLED IN BOND(L&S)100|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SINGLE BRL(ROSEMONT)98.6|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(SK LIQUOR)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(FLAKS)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SINGLE BRL(TWM)98.6|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SINGLE BRL(ONE FIFTH)98.6|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN BIB BS(OMEGAASSESTS)100|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||
1792 BBN SINGLE BRL(GOODY)98.6|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN BOTTLED IN BOND(LHLQR100|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SWEET WHEAT 91.2|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||A well-balanced bourbon with delicate body. Notes of vanilla and caramel are complemented by a touch of white oak tannins. This is further mingled with dried fruit to deliver a richly smooth flavor.
1792 BBN SMALL BATCH(PARADISE SW)|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||
1792 BBN BOTTLED IN BOND(LLAND)100|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(LGHRN LIQ)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SMALL BATCH(LIQ HUT)93.7|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Complex nose with classic bourbon notes of smooth vanilla, sweet caramel and deep oak. On the palate, bold rye spice mingles with dark fruit and sweet caramel The finish is long and lingering, with hints of cocoa
1792 BBN FULL PROOF(ANGELS LIQ)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(RICKYSLIQ)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SMALL BATCH(WRLDBEER)93.7|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Complex nose with classic bourbon notes of smooth vanilla, sweet caramel and deep oak. On the palate, bold rye spice mingles with dark fruit and sweet caramel The finish is long and lingering, with hints of cocoa
1792 BBN FULL PROOF(EMPIRE)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(ABC LIQ)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(FED GRILL)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN BOTTLEDINBOND(RALEYS1661)|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||
1792 BBN FULL PROOF(PAPPAS)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(GOODY)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN BOTTLED IN BOND(TR)100|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SINGLE BRL(LIQ O RAMA)|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN BOTTLED IN BOND(FLAKS)100|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(WHSKEY CK)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(WB)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(LKWD MEDL)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(SPANKYS LIQ)|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SINGLE BARREL 98.6|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||This superior bourbon has flavors of rich butterscotch and caramel notes, delicately balanced with hints of fruit and toffee.
1792 BBN FULL PROOF(LOL LIQ)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(SPECS)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(ONE FIFTH)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SINGLE BRL(DONSLIQ)98.6|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN BOTTLED IN BOND 100|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN PORT FINISH 88.9|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Rich aromas of apple and fruit mingling with noticeable vanilla. The taste is soft, yet balanced. Filled with toasted caramel, jam-like fruit, and a touch of licorice. A clean, somewhat lingering finish completes the taste.
1792 BBN SINGLE BRL(WB)98.6|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||This superior bourbon has flavors of rich butterscotch and caramel notes, delicately balanced with hints of fruit and toffee.
1792 BBN FULL PROOF(FRONTBURN)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(M&R LIQ#2)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SMALL BATCH(LIQ O RAMA)|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Complex nose with classic bourbon notes of smooth vanilla, sweet caramel and deep oak. On the palate, bold rye spice mingles with dark fruit and sweet caramel The finish is long and lingering, with hints of cocoa
1792 BBN SMALL BATCH(JUDYS)93.7|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Complex nose with classic bourbon notes of smooth vanilla, sweet caramel and deep oak. On the palate, bold rye spice mingles with dark fruit and sweet caramel The finish is long and lingering, with hints of cocoa
1792 BBN BOTTLED IN BOND(ABBYB&B)|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(BTRBTL3878)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SINGLE BRL(LIQUOR HUT)|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(LONGHORN)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SINGLE BRL(PAPPAS)98.6|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SMALL BATCH(PINKIES)93.7|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Complex nose with classic bourbon notes of smooth vanilla, sweet caramel and deep oak. On the palate, bold rye spice mingles with dark fruit and sweet caramel The finish is long and lingering, with hints of cocoa
1792 BBN FULL PROOF(TWIN PEAKS)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN BOTTLEDINBOND(SFWNCAL6499|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||
1792 BBN SINGLE BRL(FIESTA)98.6|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(RAD HOSP)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF BRL SEL 125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||
1792 BBN BOTTLED IN BOND(SPAKYLIQ)|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
RIDGEMONT RSV 1792 BBN(GOODY)93.7|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||
1792 BBN FULL PROOF(BETHANYLIQ)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(AUSTINSHAKER)|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SINGLE BRL(GOODY)|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(LIQ DEPOT)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SINGLE BRL(MIRAGE)98.6|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SMALL BATCH(WB)93.7|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||-Complex nose with classic bourbon notes of smooth vanilla, sweet caramel and deep oak. - On the palate, bold rye spice mingles with dark fruit and sweet caramel - The finish is long and lingering, with hints of cocoa
1792 BBN BOTTLED IN BOND(WBLIQ)100|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SMALL BATCH BRL SEL 93.7|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||
1792 BBN SINGLE BRL(L&S LIQ)98.6|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(APPLEJACKSLIQ)|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(ZIPPS)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(S&KBEV)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(TRUE SPRT)98.6|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN BOTTLED IN BOND(ZIPPS)100|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(LOYALTYLIQ)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(SIGELS)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SMALL BATCH 93.7W/CKTLKIT|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||-Complex nose with classic bourbon notes of smooth vanilla, sweet caramel and deep oak. - On the palate, bold rye spice mingles with dark fruit and sweet caramel - The finish is long and lingering, with hints of cocoa
1792 BBN SINGLE BRL(SPECS)98.6|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(SHPRECIEVE)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SB(SPAKYSLIQ)98.6|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||
1792 BBN SMALL BATCH(LIQ OPST)93.7|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Complex nose with classic bourbon notes of smooth vanilla, sweet caramel and deep oak. On the palate, bold rye spice mingles with dark fruit and sweet caramel The finish is long and lingering, with hints of cocoa
1792 BBN FULL PROOF(TAYLOR)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN BOTTLED IN BOND(EMPIRE)|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SINGLE BRL(TWINLIQ)98.6|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN BOTTLED IN BOND(LIQHUT100|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(POISON GRL)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN SINGLE BRL(MOONDANCE)98.6|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN FULL PROOF(CRYSTALSPR)125|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Strong and full of flavor, this bold bourbon boasts an incredible deep and smoky taste, superbly balanced with sweet vanilla and notes of caramel.
1792 BBN BIB BS(DEBSLIQ)100|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||
1792 BBN SMALL BATCH(ANGELS)93.7|1792|WHISKEY-AMERICAN|STRAIGHT BOURBON|TX||Complex nose with classic bourbon notes of smooth vanilla, sweet caramel and deep oak. On the palate, bold rye spice mingles with dark fruit and sweet caramel The finish is long and lingering, with hints of cocoa
